"item_key","payment_key","customer_key","time_key","store_key","quantity","unit","unit_price","total_price"
"I00185","P025","C001495","T08774","S0038","19","ct","14.0","266.0"
"I00017","P009","C000904","T09092","S0007","8","cans","6.75","54.0"
"I00235","P019","C001627","T03980","S0013","1","ct","14.0","14.0"
"I00232","P004","C001606","T00982","S0038","7","ct","12.0","84.0"
"I00075","P019","C001273","T09057","S0012","35","cans","15.5","542.5"
"I00259","P026","C000293","T03029","S0011","1","pack","26.0","26.0"
"I00123","P017","C001469","T09650","S0041","70","ct","45.0","3150.0"
"I00002","P014","C000546","T09581","S0002","6","cans","6.75","40.5"
"I00016","P025","C000778","T08326","S0004","11","cans","16.25","178.75"
"I00233","P019","C001824","T06023","S0042","26","ct","12.0","312.0"
"I00228","P021","C000461","T00144","S0027","2","pk","14.0","28.0"
"I00264","P027","C000340","T03996","S0043","40","ct","15.0","600.0"
"I00223","P018","C001721","T01874","S0021","9","ct","13.5","121.5"
"I00191","P028","C001146","T08304","S0013","6","bars","24.0","144.0"
"I00008","P015","C000415","T04138","S0002","28","cans","16.25","455.0"
"I00183","P024","C000561","T05070","S0029","44","ct","35.0","1540.0"
"I00184","P026","C001744","T09551","S0016","68","ct","12.0","816.0"
"I00214","P029","C001600","T08833","S0044","14","oz","19.5","273.0"
"I00044","P008","C001873","T06127","S0043","10","cans","8.0","80.0"
"I00163","P021","C001304","T04283","S0009","8","bags","15.0","120.0"
"I00056","P032","C000103","T05596","S0005","1","bottles","24.0","24.0"
"I00224","P001","C000527","T05430","S0014","20","oz","11.0","220.0"
"I00192","P035","C000811","T00130","S0038","4","ct","24.0","96.0"
"I00038","P037","C000913","T09476","S0030","16","bottles","23.0","368.0"
"I00249","P021","C001009","T03396","S0033","2","pack","16.0","32.0"
"I00263","P019","C000330","T07814","S0026","36","ct","14.0","504.0"
"I00001","P003","C000009","T00009","S0014","12","cans","11.5","138.0"
"I00074","P012","C001325","T07840","S0011","21","bottles","20.0","420.0"
"I00263","P039","C001032","T08321","S0037","48","ct","14.0","672.0"
"I00132","P007","C001387","T05669","S0007","46","ct","14.0","644.0"
"I00227","P034","C001622","T01446","S0024","25","pk","15.0","375.0"
"I00227","P016","C000294","T08495","S0030","36","pk","15.0","540.0"
"I00007","P007","C001606","T04132","S0030","8","cans","6.75","54.0"
"I00021","P017","C000111","T03057","S0011","8","cans","6.75","54.0"
"I00115","P025","C000215","T02092","S0033","53","ct","53.0","2809.0"
"I00242","P002","C001984","T01269","S0021","8","pk","12.0","96.0"
"I00114","P006","C001549","T03443","S0028","25","ct","44.0","1100.0"
"I00026","P002","C000213","T03739","S0037","9","cans","6.75","60.75"
"I00144","P027","C000236","T05863","S0019","187","ct","20.0","3740.0"
"I00003","P029","C001765","T03142","S0021","7","cans","6.75","47.25"
"I00218","P021","C001003","T03531","S0016","2","ct","6.0","12.0"
"I00059","P039","C000909","T04413","S0039","6","bottles","22.0","132.0"
"I00069","P007","C000152","T01615","S0028","26","bottles","17.5","455.0"
"I00066","P021","C000060","T01703","S0038","11","bottles","20.0","220.0"
"I00079","P011","C001329","T01222","S0009","1","bottles","17.0","17.0"
"I00178","P025","C001010","T02829","S0017","23","ct","26.0","598.0"
"I00112","P004","C000286","T03019","S0018","29","ct","14.0","406.0"
"I00164","P019","C000429","T06474","S0006","9","ct","16.0","144.0"
"I00004","P027","C001487","T08528","S0036","1","cans","6.75","6.75"
"I00052","P017","C000498","T09506","S0033","11","cans","40.0","440.0"
"I00081","P002","C001627","T02756","S0037","7","bottles","29.0","203.0"
"I00176","P037","C000479","T09998","S0039","5","ct","19.0","95.0"
"I00229","P037","C001914","T06798","S0003","1","ct","13.0","13.0"
"I00190","P008","C001407","T02122","S0043","14","ct","16.0","224.0"
"I00158","P018","C001522","T06034","S0013","17","NaN","17.0","289.0"
"I00124","P009","C001821","T05542","S0040","7","ct","15.0","105.0"
