"item_key","price","item_name","description","unit_price","stock_quantity","unit"
"I00001",NULL,"A&W Root Beer - 12 oz cans","a. Beverage - Soda","11.5","24","cans"
"I00002",NULL,"A&W Root Beer Diet - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00003",NULL,"Barq's Root Beer - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00004",NULL,"Cherry Coke 12oz","a. Beverage - Soda","6.75","12","cans"
"I00005",NULL,"Cherry Coke Zero 12 pack","a. Beverage - Soda","6.75","12","cans"
"I00006",NULL,"Coke Classic 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00007",NULL,"Coke Classic 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00008",NULL,"Coke Zero Sugar 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00009",NULL,"Diet Coke - 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00010",NULL,"Diet Coke - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00011",NULL,"Diet Coke Caffeine Free 12oz cans","a. Beverage - Soda","6.75","12","cans"
"I00012",NULL,"Diet Dr. Pepper - 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00013",NULL,"Diet Gingerale 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00014",NULL,"Diet Mountain Dew 12oz cans","a. Beverage - Soda","6.75","12","cans"
"I00015",NULL,"Diet Pepsi - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00016",NULL,"Dr. Pepper - 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00017",NULL,"Fresca Black Cherry - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00018",NULL,"Fresca Original - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00019",NULL,"Fresca Peach Citrus - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00020",NULL,"Ginger Ale - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00021",NULL,"Hawaiian Punch - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00022",NULL,"Mountain Dew - 12 oz cans","a. Beverage - Soda","16.25","36","cans"
"I00023",NULL,"Pepsi - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00024",NULL,"Pepsi - 12 oz cans","a. Beverage - Soda","16.25","36","cans"
"I00025",NULL,"Seven Up - 12 oz cans","a. Beverage - Soda","11.5","24","cans"
"I00026",NULL,"Sprite - 12 oz cans","a. Beverage - Soda","6.75","12","cans"
"I00027",NULL,"Sprite - 12 oz cans","a. Beverage - Soda","16.25","35","cans"
"I00028",NULL,"Sprite Zero - 12 pack","a. Beverage - Soda","6.75","12","cans"
"I00029",NULL,"Sunkist Orange - 12 oz cans","a. Beverage - Soda","11.5","24","cans"
"I00030",NULL,"La Croix Sparkling Berry 12 ozv","a. Beverage Sparkling Water","16.0","24","cans"
"I00031",NULL,"La Croix Sparkling Coconut 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00032",NULL,"La Croix Sparkling Cran-Raspberry 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00033",NULL,"La Croix Sparkling Grapefruit 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00034",NULL,"La Croix Sparkling Lemon 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00035",NULL,"La Croix Sparkling Lime 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00036",NULL,"La Croix Sparkling Orange 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00037",NULL,"La Croix Sparkling Pure 12 oz","a. Beverage Sparkling Water","16.0","24","cans"
"I00038",NULL,"Perrier Flavors Sparkling Water 16.9oz","a. Beverage Sparkling Water","23.0","24","bottles"
"I00039",NULL,"Perrier Sparkling Water glass 11oz","a. Beverage Sparkling Water","26.0","24","bottles"
"I00040",NULL,"Perrier Sparkling Water plastic 16.9oz","a. Beverage Sparkling Water","22.0","24","bottles"
"I00041",NULL,"San Pelligrino 16oz Plastic ","a. Beverage Sparkling Water","23.0","24","bottles"
"I00042",NULL,"Topo Chico 12 oz glass","a. Beverage Sparkling Water","28.0","30","bottles"
"I00043",NULL,"Topo Chico 20oz plastic","a. Beverage Sparkling Water","24.0","24","bottles"
"I00044",NULL,"Waterloo Sparkling Blackcherry 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00045",NULL,"Waterloo Sparkling Grapefruit 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00046",NULL,"Waterloo Sparkling Lemon 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00047",NULL,"Waterloo Sparkling Lime 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00048",NULL,"Waterloo Sparkling Mango 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00049",NULL,"Waterloo Sparkling Original 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00050",NULL,"Waterloo Sparkling Watermelon 12oz","a. Beverage Sparkling Water","8.0","12","cans"
"I00051",NULL,"Monster Java 15 oz","Beverage - Energy/Protein ","23.0","12","cans"
"I00052",NULL,"Monster Lo-Carb 16 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00053",NULL,"Monster Original Green 16 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00054",NULL,"Monster Zero Ultra 16 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00055",NULL,"Monster Zero Ultra Variety 16 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00056",NULL,"Muscle Milk Protein Shake Choc. 11oz","Beverage - Energy/Protein","24.0","12","bottles"
"I00057",NULL,"Muscle Milk Protein Shake Van. 11oz","Beverage - Energy/Protein","24.0","12","bottles"
"I00058",NULL,"Premier Protein Shake Choc. 11oz","Beverage - Energy/Protein","22.0","12","bottles"
"I00059",NULL,"Muscle Milk Protein Shake Van. 11oz","Beverage - Energy/Protein","22.0","12","bottles"
"I00060",NULL,"Muscle Milk Protein Shake Strbry. 11oz","Beverage - Energy/Protein","22.0","12","bottles"
"I00061",NULL,"Red Bull 12oz","Beverage - Energy/Protein","55.0","24","cans"
"I00062",NULL,"Red Bull 16oz","Beverage - Energy/Protein","37.0","12","cans"
"I00063",NULL,"Red Bull 8.4 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00064",NULL,"Red Bull Sugar Free 8.4 oz","Beverage - Energy/Protein","40.0","24","cans"
"I00065",NULL,"G2 Lo Calorie Variety 20 oz","Beverage - Gatorade","20.0","24","bottles"
"I00066",NULL,"Gatorade Frost Variety 20 oz ","Beverage - Gatorade","20.0","24","bottles"
"I00067",NULL,"Gatorade Lemon Lime 12oz","Beverage - Gatorade","8.0","12","bottles"
"I00068",NULL,"Gatorade Liberty Variety 20 oz ","Beverage - Gatorade","20.0","24","bottles"
"I00069",NULL,"Gatorade Frost Variety 12 oz","Beverage - Gatorade","17.5","28","bottles"
"I00070",NULL,"Gatorade Liberty Variety 12 oz","Beverage - Gatorade","17.5","28","bottles"
"I00071",NULL,"Gatorade Original Variety 12 oz","Beverage - Gatorade","17.5","28","bottles"
"I00072",NULL,"Gatorade Variety 20 oz ","Beverage - Gatorade","20.0","24","bottles"
"I00073",NULL,"Gatorade X-Factor Fierce Variety 20 oz","Beverage - Gatorade","20.0","24","bottles"
"I00074",NULL,"Gatorade Zero Variety 20 oz","Beverage - Gatorade","20.0","24","bottles"
"I00075",NULL,"Brisk Lemon Iced Tea - 12 oz cans","Beverage - Iced Tea","15.5","36","cans"
"I00076",NULL,"Diet Fuze Iced Tea","Beverage - Iced Tea","6.75","12","cans"
"I00077",NULL,"Fuze Iced Tea","Beverage - Iced Tea","6.75","12","cans"
"I00078",NULL,"Pure Leaf Sweet Tea 8.5oz","Beverage - Iced Tea","17.0","15","bottles"
"I00079",NULL,"Pure Leaf Unsweetened Tea 18.5oz","Beverage - Iced Tea","17.0","15","bottles"
"I00080",NULL,"Snapple Variety Pack 20oz","Beverage - Iced Tea","22.0","24","bottles"
"I00081",NULL,"Tejava Unsweetened Black Tea 16.9oz","Beverage - Iced Tea","29.0","12","bottles"
"I00082",NULL,"100% Juice Box Variety 6.75 oz ","Beverage - Juice","15.0","36","ct"
"I00083",NULL,"Ocean Spray Cranberry Juice Cocktail 15oz ","Beverage - Juice","14.0","12","bottles"
"I00084",NULL,"Tropicana Apple Juice 10 oz 100% ","Beverage - Juice","18.0","24","bottles"
"I00085",NULL,"Tropicana Orange Juice 10 oz 100% ","Beverage - Juice","18.0","24","bottles"
"I00086",NULL,"V8 100% Vegetable Juice 11oz cans","Beverage - Juice","18.0","28","cans"
"I00087",NULL,"V-8 Splash Variety 20 oz","Beverage - Juice","15.0","12","bottles"
"I00088",NULL,"Welch's 100% Juice Variety10 oz","Beverage - Juice","17.0","24","bottles"
"I00089",NULL,"AquaFina Purified Drinking Water 16oz","Beverage Water","9.0","32","bottles"
"I00090",NULL,"Dasani Bottled Water 16.9 oz","Beverage Water","9.0","24","bottles"
"I00091",NULL,"Nestle Purelife 16oz ","Beverage Water","7.5","24","bottles"
"I00092",NULL,"Ozarka Spring Water 16.9 oz bottles","Beverage Water","10.0","40","bottles"
"I00093",NULL,"Ozarka Spring Water 20 oz","Beverage Water","13.0","28","bottles"
"I00094",NULL,"Ozarka Spring Water Mini 8oz","Beverage Water","11.0","48","bottles"
"I00095",NULL,"Propel Zero Variety 20 oz","Beverage Water","16.0","24","botlltes"
"I00096",NULL,"Sobe Zero Lifewater Variety 20 oz","Beverage Water","20.0","12","bottles"
"I00097",NULL,"Vita Coconut Water 10oz ","Beverage Water","19.0","12","cartons"
"I00098",NULL,"Coffee-Mate French Vanilla Cold","Coffee Cream","10.0","64","oz"
"I00099",NULL,"Coffee-Mate Original Flavor Cold","Coffee Cream","6.0","32","oz"
"I00100",NULL,"Coffee-mate Original Powdered Creamer","Coffee Cream","10.0","50","oz."
"I00101",NULL,"French Vanilla International Delight","Coffee Cream","15.0","188","tubs"
"I00102",NULL,"Half & Half -Land o Lakes Mini Moo's","Coffee Cream","16.0","192","tubs"
"I00103",NULL,"Hazelnut International Delight","Coffee Cream","15.0","188","tubs"
"I00104",NULL,"Njoy Creamer Canister 16 oz","Coffee Creamer","14.0","8","ct"
"I00105",NULL,"Njoy Creamer Packs","Coffee Creamer","16.5","1000","ct"
"I00106",NULL,"Community Coffee Dark Roast","Coffee Ground","17.0","40","oz"
"I00107",NULL,"Dunkin Donuts Original Blend","Coffee Ground","20.0","40","oz"
"I00108",NULL,"Folgers 100% Colombian Coffee","Coffee Ground","15.0","35","oz"
"I00109",NULL,"Folgers Classic Roast Coffee","Coffee Ground","17.0","48","oz"
"I00110",NULL,"Starbuck's Pike Place","Coffee Ground","22.5","32","oz"
"I00111",NULL,"K Cups Hot Cocoa","Coffee Hot Cocoa","16.0","16","ct"
"I00112",NULL,"Swiss Miss Hot Cocoa Mix 1 oz","Coffee Hot Cocoa","14.0","60","ct"
"I00113",NULL,"K Cups - McCafe Premium Roast","Coffee K-Cups","42.0","84","ct"
"I00114",NULL,"K Cups – Starbuck's Pike Place","Coffee K-Cups","44.0","72","ct"
"I00115",NULL,"K Cups Daily Chef Columbian Supremo","Coffee K-Cups","53.0","100","ct"
"I00116",NULL,"K Cups Dunkin Donuts Medium Roast","Coffee K-Cups","48.0","72","ct"
"I00117",NULL,"K Cups Folgers Lively Columbian","Coffee K-Cups","46.0","80","ct"
"I00118",NULL,"K Cups –Organic Breakfast Blend","Coffee K-Cups","42.0","80","ct"
"I00119",NULL,"K Cups Original Donut Shop Med. Roast","Coffee K-Cups","53.0","100","ct"
"I00120",NULL,"K Cups - Green Tea","Coffee K-Cups Tea","9.0","12","ct"
"I00121",NULL,"Stirrers Coffee Stirs 7inch","Coffee Stirrers","17.0","5000","ct"
"I00122",NULL,"Equal Sweetener","Coffee Sweetener","15.0","800","ct"
"I00123",NULL,"Honey Packets  ","Coffee Sweetener","45.0","200","ct"
"I00124",NULL,"Njoy Sugar Canister 22 oz","Coffee Sweetener","15.0","8","ct"
"I00125",NULL,"Pure White Sugar Packets","Coffee Sweetener","15.0","2000","ct"
"I00126",NULL,"Splenda Sweetener","Coffee Sweetener","25.0","1200","ct"
"I00127",NULL,"Sugar in the Raw Packets","Coffee Sweetener","12.5","500","pk"
"I00128",NULL,"Sweet N Low Sweetener","Coffee Sweetener","16.0","1500","pk"
"I00129",NULL,"Truvia Natural Sweetener","Coffee Sweetener","18.0","400","pk"
"I00130",NULL,"Hefty Supreme Foam Bowls 12oz","Dishware - Bowls","14.0","300","ct"
"I00131",NULL,"Paper Bowls 20 oz Ultra Strong","Dishware - Bowls","14.0","150","ct"
"I00132",NULL,"Clear Plastic 12 oz Cups","Dishware - Cups Cold","14.0","330","ct"
"I00133",NULL,"Clear Plastic Cups 9oz","Dishware - Cups Cold","15.0","264","ct"
"I00134",NULL,"Red Plastic Cups 18oz","Dishware - Cups Cold","16.0","252","ct"
"I00135",NULL,"Chinet Comfort Hot Cups with Lids 16oz","Dishware - Cups Hot","14.0","60","ct"
"I00136",NULL,"Dixie Perfecttouch Paper Cups 12oz","Dishware - Cups Hot","19.5","176","ct"
"I00137",NULL,"Foam Coffee Cups - 08 ounce","Dishware - Cups Hot","24.0","1000","ct"
"I00138",NULL,"Foam Coffee Cups - 12 ounce","Dishware - Cups Hot","32.0","1000","ct"
"I00139",NULL,"Foam Coffee Cups - 16 ounce","Dishware - Cups Hot","24.0","500","ct"
"I00140",NULL,"Foam Coffee Cups - 20 ounce","Dishware - Cups Hot","29.0","500","ct"
"I00141",NULL,"Hefty Cmprtmnt Plates Foam 10'","Dishware - Plates","18.0","200","ct"
"I00142",NULL,"Hefty Supreme Foam Plates 6 inch","Dishware - Plates","12.5","320","ct"
"I00143",NULL,"Hefty Supreme Foam Plates 9 inch","Dishware - Plates","16.0","250","ct"
"I00144",NULL,"Paper Plate 10 inch Ultra Strong","Dishware - Plates","20.0","204","ct"
"I00145",NULL,"Paper Plates 7 inch  Ultra Strong","Dishware - Plates","17.0","330","ct"
"I00146",NULL,"Paper Plates 8.5 inch Ultra Strong","Dishware - Plates","21.0","300","ct"
"I00147",NULL,"Plastic Forks White Heavyweight","Dishware - Utensils","15.0","600","ct"
"I00148",NULL,"Plastic Knives White  Heavyweight","Dishware - Utensils","15.0","600","ct"
"I00149",NULL,"Plastic Spoons White  Heavyweight","Dishware - Utensils","15.0","600","ct"
"I00150",NULL,"Baked Chips Variety Mix Frito","Food - Chips","16.0","30","bags"
"I00151",NULL,"Cheetos Flamin' Hot 1 oz","Food - Chips","17.0","50","bags"
"I00152",NULL,"Cheez It Original Crackers 1.5oz","Food - Chips","15.0","45","bags"
"I00153",NULL,"Cheez It White Cheddar 1.5 oz","Food - Chips","15.0","45","bags"
"I00154",NULL,"Chex Mix Original","Food - Chips","15.0","36","Bags"
"I00155",NULL,"Doritos Nacho Cheese 1 oz","Food - Chips","17.0","50","bags"
"I00156",NULL,"Flamin Hot Chip Mix 1oz","Food - Chips","17.0","30","bags"
"I00157",NULL,"Frito Big Grab Variety 1.5-2.0 oz","Food - Chips","17.0","30","bags"
"I00158",NULL,"Frito Bold Flavors Variety","Food - Chips","17.0","50","NaN"
"I00159",NULL,"Frito BOLD Flavors Variety Pack","Food - Chips","17.0","50","bags"
"I00160",NULL,"Frito Classic Mix Variety","Food - Chips","17.0","50","bags"
"I00161",NULL,"Frito Fiesta Flavors Variety","Food - Chips","17.0","30","Bags"
"I00162",NULL,"Gardettos Snacks","Food - Chips","16.0","36","Bags"
"I00163",NULL,"Goldfish Pepperidge Farm Cheddar 1.5oz ","Food - Chips","15.0","30","bags"
"I00164",NULL,"Goldfish Variety Bags, cheddar, pretzels","Food - Chips","16.0","45","ct"
"I00165",NULL,"Miss Vickies Chips","Food - Chips","16.0","30","bags"
"I00166",NULL,"Pop Chips Variety bags","Food - Chips","17.0","30","bags"
"I00167",NULL,"Pringles Snak Stacks Variety","Food - Chips","14.0","36","ct"
"I00168",NULL,"Snyders Pretzels Minis","Food - Chips","18.0","48","ct"
"I00169",NULL,"Sun Chips Variety Pack","Food - Chips","17.0","30","ct"
"I00170",NULL,"Veggie Chips 1oz ","Food - Chips","15.0","30","ct"
"I00171",NULL,"Dark Chocolate Mint Patties","Food - Chocolate","16.0","240","ct"
"I00172",NULL,"Hershey Chocoalte Minatures Assort.","Food - Chocolate","19.0","55","oz"
"I00173",NULL,"Hershey Factory Favorites Mix","Food - Chocolate","19.0","120","ct"
"I00174",NULL,"Hershey Kisses ","Food - Chocolate","18.0","56","oz"
"I00175",NULL,"Hershey Nuggets","Food - Chocolate","19.0","52","oz"
"I00176",NULL,"M&M Peanut Butter 1.6 oz","Food - Chocolate","19.0","24","ct"
"I00177",NULL,"M&M Peanut Candy 1.7 oz","Food - Chocolate","35.0","48","ct"
"I00178",NULL,"M&M Variety Full Size Bags","Food - Chocolate","26.0","30","ct"
"I00179",NULL,"Mars Chocolate Favorites","Food - Chocolate","19.0","135","ct"
"I00180",NULL,"Mars Mini Mix","Food - Chocolate","19.0","205","ct"
"I00181",NULL,"Reese's Peanutbutter Cups 2/pk","Food - Chocolate","26.0","36","ct"
"I00182",NULL,"Reese's Pieces Peanutbutter Candy","Food - Chocolate","15.0","48","oz"
"I00183",NULL,"Snickers Bars 1.8oz","Food - Chocolate","35.0","48","ct"
"I00184",NULL,"Tootsie Roll Midgets","Food - Chocolate","12.0","760","ct"
"I00185",NULL,"Apple Sauce Variety GoGO Squeeze 3.2oz","Food - Healthy","14.0","20","ct"
"I00186",NULL,"Belvita Hard Biscuits Blueberry","Food - Healthy","13.0","20","ct"
"I00187",NULL,"Belvita Hard Biscuits Cinnamon","Food - Healthy","13.0","20","ct"
"I00188",NULL,"Belvita Protein Oats Soft Biscuit","Food - Healthy","14.0","15","ct"
