"time_key","date","hour","day","week","month","quarter","year"
"T00001","2015-06-08","13","8","2nd Week","6","Q2","2015"
"T00002","2014-06-30","7","30","4th Week","6","Q2","2014"
"T00003","2014-11-03","5","3","1st Week","11","Q4","2014"
"T00004","2018-10-09","16","9","2nd Week","10","Q4","2018"
"T00005","2020-05-25","8","25","4th Week","5","Q2","2020"
"T00006","2019-06-16","1","16","3rd Week","6","Q2","2019"
"T00007","2021-06-19","2","19","3rd Week","6","Q2","2021"
"T00008","2017-03-21","14","21","3rd Week","3","Q1","2017"
"T00009","2020-12-03","1","3","1st Week","12","Q4","2020"
"T00010","2016-06-06","19","6","1st Week","6","Q2","2016"
"T00011","2017-09-13","1","13","2nd Week","9","Q3","2017"
"T00012","2018-08-26","8","26","4th Week","8","Q3","2018"
"T00013","2014-03-24","3","24","4th Week","3","Q1","2014"
"T00014","2021-03-10","3","10","2nd Week","3","Q1","2021"
"T00015","2019-12-24","4","24","4th Week","12","Q4","2019"
"T00016","2017-01-25","20","25","4th Week","1","Q1","2017"
"T00017","2019-06-08","9","8","2nd Week","6","Q2","2019"
"T00018","2016-01-14","8","14","2nd Week","1","Q1","2016"
"T00019","2014-09-09","5","9","2nd Week","9","Q3","2014"
"T00020","2022-10-16","8","16","3rd Week","10","Q4","2022"
"T00021","2022-02-21","15","21","3rd Week","2","Q1","2022"
"T00022","2015-09-13","1","13","2nd Week","9","Q3","2015"
"T00023","2018-03-04","11","4","1st Week","3","Q1","2018"
"T00024","2020-03-02","12","2","1st Week","3","Q1","2020"
"T00025","2016-07-01","23","1","1st Week","7","Q3","2016"
"T00026","2019-12-20","4","20","3rd Week","12","Q4","2019"
"T00027","2014-10-27","3","27","4th Week","10","Q4","2014"
"T00028","2016-08-04","7","4","1st Week","8","Q3","2016"
"T00029","2019-11-24","13","24","4th Week","11","Q4","2019"
"T00030","2022-05-11","6","11","2nd Week","5","Q2","2022"
"T00031","2019-10-27","22","27","4th Week","10","Q4","2019"
"T00032","2018-09-25","16","25","4th Week","9","Q3","2018"
"T00033","2021-09-19","1","19","3rd Week","9","Q3","2021"
"T00034","2020-05-24","23","24","4th Week","5","Q2","2020"
"T00035","2014-12-02","7","2","1st Week","12","Q4","2014"
"T00036","2019-08-27","22","27","4th Week","8","Q3","2019"
"T00037","2017-10-31","4","31","4th Week","10","Q4","2017"
"T00038","2014-10-13","20","13","2nd Week","10","Q4","2014"
"T00039","2021-01-30","11","30","4th Week","1","Q1","2021"
"T00040","2017-03-17","13","17","3rd Week","3","Q1","2017"
"T00041","2014-07-30","17","30","4th Week","7","Q3","2014"
"T00042","2017-12-02","13","2","1st Week","12","Q4","2017"
"T00043","2016-12-03","9","3","1st Week","12","Q4","2016"
"T00044","2016-07-25","16","25","4th Week","7","Q3","2016"
"T00045","2018-12-04","5","4","1st Week","12","Q4","2018"
"T00046","2020-04-19","3","19","3rd Week","4","Q2","2020"
"T00047","2019-10-09","0","9","2nd Week","10","Q4","2019"
"T00048","2014-02-11","3","11","2nd Week","2","Q1","2014"
"T00049","2014-09-06","18","6","1st Week","9","Q3","2014"
"T00050","2016-04-28","0","28","4th Week","4","Q2","2016"
"T00051","2017-01-31","9","31","4th Week","1","Q1","2017"
"T00052","2022-09-22","1","22","4th Week","9","Q3","2022"
"T00053","2018-07-11","6","11","2nd Week","7","Q3","2018"
"T00054","2016-11-28","14","28","4th Week","11","Q4","2016"
"T00055","2017-05-07","2","7","1st Week","5","Q2","2017"
"T00056","2021-11-10","9","10","2nd Week","11","Q4","2021"
"T00057","2014-07-27","21","27","4th Week","7","Q3","2014"
"T00058","2016-09-28","9","28","4th Week","9","Q3","2016"
"T00059","2015-11-19","13","19","3rd Week","11","Q4","2015"
"T00060","2020-02-26","12","26","4th Week","2","Q1","2020"
"T00061","2020-01-23","5","23","4th Week","1","Q1","2020"
"T00062","2018-08-01","5","1","1st Week","8","Q3","2018"
"T00063","2015-05-11","3","11","2nd Week","5","Q2","2015"
"T00064","2014-05-07","14","7","1st Week","5","Q2","2014"
"T00065","2022-09-05","15","5","1st Week","9","Q3","2022"
"T00066","2017-09-15","3","15","3rd Week","9","Q3","2017"
"T00067","2015-05-09","17","9","2nd Week","5","Q2","2015"
"T00068","2020-05-28","18","28","4th Week","5","Q2","2020"
"T00069","2022-03-08","16","8","2nd Week","3","Q1","2022"
"T00070","2017-05-08","4","8","2nd Week","5","Q2","2017"
"T00071","2021-08-07","6","7","1st Week","8","Q3","2021"
"T00072","2019-04-11","16","11","2nd Week","4","Q2","2019"
"T00073","2019-02-01","17","1","1st Week","2","Q1","2019"
"T00074","2018-08-08","0","8","2nd Week","8","Q3","2018"
"T00075","2021-06-06","2","6","1st Week","6","Q2","2021"
"T00076","2015-02-23","8","23","4th Week","2","Q1","2015"
"T00077","2019-12-16","10","16","3rd Week","12","Q4","2019"
"T00078","2019-09-28","23","28","4th Week","9","Q3","2019"
"T00079","2021-05-11","15","11","2nd Week","5","Q2","2021"
"T00080","2016-10-19","23","19","3rd Week","10","Q4","2016"
"T00081","2016-06-15","9","15","3rd Week","6","Q2","2016"
"T00082","2021-08-31","10","31","4th Week","8","Q3","2021"
"T00083","2022-07-23","22","23","4th Week","7","Q3","2022"
"T00084","2017-02-05","18","5","1st Week","2","Q1","2017"
"T00085","2022-06-17","6","17","3rd Week","6","Q2","2022"
"T00086","2021-09-16","2","16","3rd Week","9","Q3","2021"
"T00087","2020-04-22","11","22","4th Week","4","Q2","2020"
"T00088","2015-07-27","18","27","4th Week","7","Q3","2015"
"T00089","2021-05-07","14","7","1st Week","5","Q2","2021"
"T00090","2018-04-04","21","4","1st Week","4","Q2","2018"
"T00091","2014-06-28","4","28","4th Week","6","Q2","2014"
